"trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand","trial_handpos",
0.70356,1,1,2,1.1012,1,2,0.62442,1,1,2,
0.8271,1,2,1,1.2016,1,1,0.24339,1,1,2,
0.45839,1,1,2,1.1347,1,1,0.20761,1,1,2,
0.63549,1,2,1,1.3238,1,1,0.23,1,1,2,
0.62323,1,2,1,1.9505,1,1,0.24528,1,1,2,
0.50388,1,1,2,1.5321,1,1,0.21957,1,1,2,
0.58648,1,2,1,1.2477,1,2,0.72306,1,1,2,
0.95137,1,2,1,1.4373,1,2,0.74554,1,1,2,
0.53266,1,1,2,1.6691,1,1,0.22671,1,1,2,
0.6917,1,2,1,1.5477,1,1,0.23989,1,1,2,
0.48639,1,2,1,1.6091,1,1,0.23375,1,1,2,
0.50048,1,2,1,1.8631,1,1,0.22957,1,1,2,
0.6185,1,2,1,1.3807,1,1,0.25076,1,1,2,
0.37496,1,1,2,1.749,1,1,0.23137,1,1,2,
0.82666,1,2,2,1.7835,1,1,0.21338,0,0,3,
NaN,1,0,2,1.2479,NaN,1,0.20786,0,0,3,
0.63003,1,2,2,1.5544,1,2,0.6423,0,0,3,
0.50847,1,2,2,1.2296,1,2,0.66181,0,0,3,
0.47428,1,2,2,1.0069,1,2,0.69401,0,0,3,
0.46566,1,1,1,1.7666,1,2,0.73537,0,0,3,
0.3489,1,1,1,1.0218,1,2,0.7378,0,0,3,
0.37216,1,2,2,1.3931,1,2,0.66201,0,0,3,
0.4124,1,2,2,1.2525,1,2,0.66005,0,0,3,
0.38583,1,2,2,1.2042,1,2,0.68659,0,0,3,
0.36077,1,1,1,1.6623,1,1,0.23691,0,0,3,
0.33469,1,1,1,1.9147,1,1,0.23869,0,0,3,
0.52652,1,2,2,1.0069,1,1,0.21194,0,0,3,
0.34311,1,1,1,1.7464,1,1,0.24705,0,0,3,
0.47348,1,2,2,1.7997,1,1,0.22036,0,0,3,
0.43679,1,2,2,1.9078,1,1,0.21561,0,0,3,
0.3165,1,1,1,1.9746,1,2,0.73637,0,0,3,
0.47382,1,2,2,1.1199,1,1,0.20953,0,0,3,
0.43456,1,1,1,1.519,1,2,0.67979,0,0,3,
0.39425,1,1,1,1.822,1,2,0.72763,0,0,3,
0.48884,1,2,2,1.637,1,1,0.22323,0,0,3,
0.41497,1,1,1,1.9539,1,1,0.24206,0,0,3,
0.39794,1,2,2,1.9469,1,2,0.6893,0,0,3,
0.45225,1,2,2,1.9666,1,2,0.6679,0,0,3,
0.55488,1,1,1,1.0673,1,2,0.72165,0,0,3,
0.59685,1,2,2,1.4375,1,2,0.63958,0,0,3,
0.71305,1,2,2,1.3208,1,1,0.20814,0,0,3,
0.45222,1,1,1,1.1341,1,1,0.24633,0,0,3,
0.73364,1,2,2,1.1346,1,1,0.21087,0,0,3,
0.30719,1,1,1,1.8059,1,2,0.70156,0,0,3,
0.39795,1,2,2,1.5248,1,2,0.63956,0,0,3,
0.38003,1,1,1,1.9443,1,2,0.72344,0,0,3,
0.3925,1,1,1,1.9883,1,2,0.72295,0,0,3,
0.40486,1,1,1,1.4099,1,1,0.24793,0,0,3,
0.52448,1,2,2,1.3712,1,1,0.2287,0,0,3,
0.49687,1,2,2,1.2269,1,2,0.67966,0,0,3,
0.39594,1,1,1,1.446,1,1,0.25316,0,0,3,
0.44451,1,2,2,1.2662,1,1,0.21126,0,0,3,
0.44162,1,1,1,1.4591,1,2,0.7561,0,0,3,
0.43416,1,1,1,1.4329,1,2,0.68282,0,0,3,
0.33976,1,1,1,1.2596,1,2,0.69836,0,0,3,
0.38833,1,1,1,1.1337,1,1,0.22666,0,0,3,
0.53204,1,2,2,1.4192,1,2,0.67064,0,0,3,
0.65125,1,2,2,1.5069,1,2,0.68889,0,0,3,
0.86979,1,1,1,1.3243,1,1,0.24185,0,0,3,
0.45971,1,2,2,1.6847,1,2,0.63195,0,0,3,
0.47339,1,1,1,1.4431,1,2,0.71972,0,0,3,
0.59794,1,2,2,1.4357,1,1,0.22089,0,0,3,
0.55333,1,1,1,1.793,1,2,0.69416,0,0,3,
0.33546,1,2,2,1.8156,1,1,0.21478,0,0,3,
0.50615,1,1,1,1.7521,1,1,0.24588,0,0,3,
0.33865,1,1,1,1.7893,1,1,0.24131,0,0,3,
0.48156,1,2,2,1.5013,1,1,0.21033,0,0,3,
0.56211,1,2,2,1.5552,1,1,0.21618,0,0,3,
0.32998,1,1,1,1.6307,1,1,0.237,0,0,3,
0.53848,1,2,2,1.098,1,2,0.66336,0,0,3,
0.41885,1,1,1,1.2457,1,1,0.22693,0,0,3,
0.35259,1,1,1,1.6157,1,1,0.24199,0,0,3,
0.39015,1,1,1,1.305,1,1,0.25208,0,0,3,
0.31508,1,1,1,1.767,1,2,0.68769,0,0,3,
0.67161,1,1,1,1.8367,1,1,0.24858,0,1,3,
0.70732,1,1,1,1.8593,1,2,0.75595,0,1,3,
0.44319,1,1,1,1.5234,1,1,0.24466,0,1,3,
0.44103,1,1,1,1.4774,1,2,0.70903,0,1,3,
NaN,1,0,2,1.8899,NaN,2,0.65042,0,1,3,
0.45556,1,2,2,1.0651,1,1,0.21764,0,1,3,
1.054,1,2,2,1.5095,1,1,0.22373,0,1,3,
0.42415,1,1,1,1.6208,1,2,0.71664,0,1,3,
0.39873,1,1,1,1.7336,1,2,0.75807,0,1,3,
0.40859,1,1,1,1.23,1,1,0.23586,0,1,3,
0.35293,1,1,1,1.0219,1,2,0.70631,0,1,3,
0.47235,1,2,2,1.139,1,2,0.68818,0,1,3,
0.42923,1,2,2,1.7695,1,1,0.22032,0,1,3,
0.40152,1,2,2,1.9698,1,2,0.67667,0,1,3,
0.5317,1,2,2,1.3868,1,1,0.20991,0,1,3,
0.4314,1,2,2,1.9934,1,2,0.65399,0,1,3,
0.42109,1,1,1,1.3264,1,2,0.68515,0,1,3,
0.41957,1,1,1,1.1372,1,2,0.73319,0,1,3,
0.53162,1,2,2,1.3848,1,1,0.22437,0,1,3,
0.66673,1,1,1,1.5626,1,2,0.75508,0,1,3,
0.93758,1,1,1,1.6338,1,1,0.2443,0,1,3,
0.51072,1,2,2,1.5416,1,1,0.22402,0,1,3,
0.4412,1,2,2,1.315,1,1,0.22828,0,1,3,
0.57505,1,1,1,1.1593,1,1,0.23896,0,1,3,
0.58867,1,1,1,1.1526,1,1,0.2387,0,1,3,
0.38271,1,2,2,1.137,1,1,0.22704,0,1,3,
0.56974,1,2,2,1.7098,1,2,0.68257,0,1,3,
0.60445,1,2,2,1.4649,1,1,0.2115,0,1,3,
0.69069,1,1,1,1.1133,1,1,0.2271,0,1,3,
0.53552,1,1,1,1.7009,1,1,0.22791,0,1,3,
0.58158,1,1,1,1.18,1,2,0.69055,0,1,3,
0.47414,1,2,2,1.8037,1,2,0.63312,0,1,3,
0.84071,1,2,2,1.514,1,1,0.22237,0,1,3,
0.57258,1,1,1,1.5484,1,2,0.68159,0,1,3,
0.7934,1,2,2,1.2078,1,2,0.65543,0,1,3,
0.5115,1,2,2,1.7846,1,1,0.22372,0,1,3,
0.47352,1,1,1,1.5265,1,2,0.68831,0,1,3,
0.057111,1,1,1,1.571,1,1,0.23266,0,1,3,
0.80581,1,1,1,1.422,1,2,0.70227,0,1,3,
0.50215,1,2,2,1.7212,1,2,0.63321,0,1,3,
0.50439,1,2,2,1.0731,1,1,0.21477,0,1,3,
0.63991,1,2,2,1.5949,1,1,0.22691,0,1,3,
0.48507,1,1,1,1.862,1,1,0.23437,0,1,3,
0.5803,1,2,2,1.4488,1,2,0.67872,0,1,3,
0.50967,1,2,2,1.6526,1,2,0.66153,0,1,3,
0.57437,1,1,1,1.3035,1,1,0.24136,0,1,3,
0.43329,1,1,1,1.6074,1,2,0.73889,0,1,3,
0.74995,1,2,2,1.2789,1,2,0.67857,0,1,3,
0.75517,1,2,2,1.7996,1,1,0.22953,0,1,3,
0.46802,1,2,2,1.7962,1,2,0.6307,0,1,3,
0.58306,1,1,1,1.9541,1,1,0.2481,0,1,3,
0.41524,1,1,1,1.4443,1,2,0.69425,0,1,3,
0.47154,1,1,1,1.4569,1,1,0.22718,0,1,3,
0.33881,1,2,2,1.5998,1,2,0.62991,0,1,3,
0.45758,1,1,1,1.8426,1,2,0.68982,0,1,3,
0.46085,1,2,2,1.0312,1,2,0.62998,0,1,3,
0.5624,1,1,1,1.1873,1,1,0.25217,0,1,3,
0.54336,1,2,2,1.9436,1,2,0.64058,0,1,3,
0.59611,1,1,1,1.9479,1,1,0.25238,0,1,3,
0.61498,1,2,2,1.453,1,1,0.22269,0,1,3,
0.69038,1,1,2,1.0746,1,2,0.63904,1,0,3,
0.57196,1,2,1,1.5911,1,2,0.69511,1,0,3,
0.4794,1,1,2,1.446,1,2,0.62569,1,0,3,
0.64706,1,1,2,1.9266,1,2,0.66147,1,0,3,
0.49573,1,1,2,1.0949,1,1,0.21676,1,0,3,
0.44677,1,2,1,1.3754,1,2,0.74055,1,0,3,
0.48548,1,1,2,1.546,1,1,0.21885,1,0,3,
0.56548,1,1,1,1.1117,0,1,0.23668,1,0,3,
0.44399,1,2,1,1.9045,1,2,0.6841,1,0,3,
0.45848,1,1,2,1.6333,1,1,0.21207,1,0,3,
0.63624,1,1,2,1.9054,1,2,0.66085,1,0,3,
0.47972,1,2,1,1.6306,1,1,0.23739,1,0,3,
0.61031,1,1,2,1.0142,1,2,0.68859,1,0,3,
0.77672,1,1,2,1.3165,1,1,0.20826,1,0,3,
0.5652,1,2,1,1.1119,1,2,0.71486,1,0,3,
0.62335,1,1,2,1.6295,1,2,0.66039,1,0,3,
0.85788,1,2,1,1.0607,1,2,0.68984,1,0,3,
0.49983,1,2,1,1.674,1,2,0.72293,1,0,3,
0.65879,1,1,2,1.4774,1,1,0.22838,1,0,3,
0.50772,1,2,1,1.3055,1,2,0.69494,1,0,3,
0.5739,1,2,1,1.5163,1,1,0.23052,1,0,3,
0.53551,1,2,1,1.707,1,2,0.68409,1,0,3,
0.5615,1,2,1,1.8136,1,2,0.73299,1,0,3,
0.53069,1,2,1,1.3158,1,2,0.68073,1,0,3,
0.51009,1,1,2,1.3113,1,2,0.6419,1,0,3,
0.53153,1,1,2,1.345,1,1,0.23146,1,0,3,
0.46962,1,1,2,1.6663,1,1,0.22596,1,0,3,
0.49822,1,2,1,1.8611,1,2,0.6986,1,0,3,
0.51151,1,1,2,1.7618,1,2,0.67146,1,0,3,
0.40279,1,2,1,1.8758,1,2,0.69014,1,0,3,
0.43234,1,1,2,1.8712,1,2,0.66743,1,0,3,
0.73313,1,1,2,1.1728,1,1,0.22837,1,0,3,
0.50701,1,2,1,1.8502,1,1,0.25114,1,0,3,
0.38981,1,2,1,1.9596,1,1,0.23569,1,0,3,
0.61071,1,1,2,1.7702,1,1,0.21883,1,0,3,
0.46812,1,2,1,1.875,1,1,0.24485,1,0,3,
0.51473,1,2,1,1.0674,1,1,0.24555,1,0,3,
0.36749,1,2,1,1.6468,1,1,0.23876,1,0,3,
0.57927,1,1,2,1.3241,1,1,0.21578,1,0,3,
0.48687,1,1,2,1.6403,1,1,0.2137,1,0,3,
0.44326,1,1,2,1.8798,1,2,0.62621,1,0,3,
0.55201,1,2,1,1.3736,1,1,0.23832,1,0,3,
1.0331,1,2,1,1.7667,1,1,0.23079,1,0,3,
0.54898,1,2,1,1.1681,1,1,0.23706,1,0,3,
0.52154,1,1,2,1.5197,1,2,0.69015,1,0,3,
0.3482,1,1,2,1.6275,1,2,0.65838,1,0,3,
0.48104,1,2,1,1.7139,1,1,0.25156,1,0,3,
0.46647,1,2,1,1.3064,1,1,0.22884,1,0,3,
0.89757,1,1,2,1.2637,1,1,0.23198,1,0,3,
0.50978,1,1,2,1.916,1,1,0.20922,1,0,3,
0.50799,1,2,1,1.615,1,2,0.70421,1,0,3,
0.50547,1,1,2,1.0932,1,2,0.67949,1,0,3,
0.37013,1,2,1,1.6277,1,1,0.24269,1,0,3,
0.49446,1,1,2,1.192,1,2,0.65495,1,0,3,
0.49645,1,1,2,1.777,1,2,0.64242,1,0,3,
0.40525,1,1,2,1.8645,1,1,0.21011,1,0,3,
0.44323,1,2,1,1.3336,1,2,0.70274,1,0,3,
0.46085,1,2,1,1.1354,1,1,0.23081,1,0,3,
0.41708,1,2,1,1.7655,1,2,0.70453,1,0,3,
0.90216,1,1,2,1.3186,1,1,0.20955,1,0,3,
0.79599,1,1,2,1.9982,1,1,0.21369,1,1,3,
1.0312,1,2,1,1.1319,1,1,0.25207,1,1,3,
0.54166,1,1,2,1.9547,1,2,0.64997,1,1,3,
0.76509,1,1,2,1.1239,1,2,0.64846,1,1,3,
0.80119,1,2,1,1.1862,1,1,0.24242,1,1,3,
0.47968,1,1,2,1.6465,1,2,0.62566,1,1,3,
0.6342,1,1,2,1.1282,1,2,0.63559,1,1,3,
0.42198,1,1,2,1.0813,1,1,0.22489,1,1,3,
0.64009,1,1,2,1.6592,1,2,0.66324,1,1,3,
0.81795,1,1,2,1.0274,1,2,0.63522,1,1,3,
0.77089,1,1,2,1.9852,1,1,0.22802,1,1,3,
